KEGG_ID;Pathway;PathwayCommons;ConsensusPath;HIPPIE;iREF;STRING;OmniPath
hsa00030;Pentose phosphate pathway;0.5593;0.0847;0.0847;0.0;0.2373;0.0
hsa00071;Fatty acid degradation;0.9677;0.0;0.1613;0.0;0.0;0.0
hsa00230;Purine metabolism;0.5074;0.0;0.0;0.0;0.2786;0.0
hsa00240;Pyrimidine metabolism;0.3226;0.0161;0.0323;0.0;0.0968;0.0
hsa00310;Lysine degradation;0.0411;0.0274;0.0274;0.0137;0.0137;0.0
hsa00480;Glutathione metabolism;0.2542;0.0085;0.0106;0.0;0.0381;0.0
hsa00500;Starch and sucrose metabolism;0.5294;0.0;0.0;0.0;0.1765;0.0
hsa00510;N-Glycan biosynthesis;0.4022;0.0761;0.087;0.0217;0.2935;0.0
hsa00520;Amino sugar and nucleotide sugar metabolism;0.7692;0.0;0.0;0.0;0.0513;0.0
hsa00561;Glycerolipid metabolism;0.2657;0.0;0.0;0.0;0.042;0.0
hsa00562;Inositol phosphate metabolism;0.7132;0.0;0.2713;0.0;0.5969;0.0
hsa00563;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;0.5769;0.2019;0.2115;0.0481;0.375;0.0
hsa00564;Glycerophospholipid metabolism;0.5;0.0;0.1163;0.0;0.155;0.0
hsa00600;Sphingolipid metabolism;0.3374;0.0;0.0;0.0;0.1893;0.0
hsa00830;Retinol metabolism;0.5088;0.0;0.0;0.0;0.0;0.0
hsa00980;Metabolism of xenobiotics by cytochrome P450;0.08;0.0425;0.0775;0.0;0.045;0.0
hsa00982;Drug metabolism;0.0;0.0;0.0;0.0;0.0;0.0
hsa01521;EGFR tyrosine kinase inhibitor resistance;0.5;0.3763;0.4175;0.1649;0.5722;0.3918
hsa01522;Endocrine resistance;0.7302;0.5397;0.5873;0.2698;0.7302;0.381
hsa01524;Platinum drug resistance;0.725;0.55;0.6;0.275;0.525;0.675
hsa03013;RNA transport;0.5781;0.5156;0.4844;0.3125;0.6562;0.0312
hsa03015;mRNA surveillance pathway;0.1739;0.1739;0.1957;0.0435;0.2609;0.0
hsa03320;PPAR signaling pathway;0.1356;0.0395;0.1384;0.0;0.048;0.0339
hsa03460;Fanconi anemia pathway;0.2244;0.1569;0.1874;0.0784;0.1634;0.0458
hsa04010;MAPK signaling pathway;0.4486;0.1579;0.2165;0.0598;0.5718;0.951
hsa04012;ErbB signaling pathway;0.4545;0.3636;0.4061;0.2061;0.4606;0.4
hsa04014;Ras signaling pathway;0.4574;0.1908;0.2449;0.0609;0.7131;0.8606
hsa04015;Rap1 signaling pathway;0.3887;0.163;0.2241;0.0486;0.6489;0.6944
hsa04020;Calcium signaling pathway;0.5761;0.1341;0.1957;0.0362;0.4638;0.279
hsa04022;cGMP-PKG signaling pathway;0.6479;0.3239;0.3662;0.1549;0.7324;0.4085
hsa04024;cAMP signaling pathway;0.4803;0.1659;0.2445;0.0349;0.4978;0.1965
hsa04060;Cytokine-cytokine receptor interaction;0.599;0.5156;0.5104;0.2396;0.5156;0.5729
hsa04061;Viral protein interaction with cytokine and cytokine receptor;0.8194;0.7639;0.7639;0.4028;0.75;0.8333
hsa04062;Chemokine signaling pathway;0.5609;0.1638;0.3959;0.0683;0.6246;0.2048
hsa04064;NF-kappa B signaling pathway;0.301;0.2427;0.335;0.199;0.2864;0.2379
hsa04066;HIF-1 signaling pathway;0.3602;0.205;0.2547;0.118;0.2174;0.1615
hsa04068;FoxO signaling pathway;0.4398;0.247;0.2048;0.0843;0.4036;0.3373
hsa04070;Phosphatidylinositol signaling system;0.3721;0.0044;0.2912;0.0015;0.1809;0.0029
hsa04071;Sphingolipid signaling pathway;0.8261;0.3768;0.4638;0.1014;0.6522;0.4058
hsa04072;Phospholipase D signaling pathway;0.3478;0.2065;0.25;0.0924;0.5054;0.3043
hsa04080;Neuroactive ligand-receptor interaction;0.7333;0.5556;0.5778;0.1556;0.6;0.7556
hsa04110;Cell cycle;0.2574;0.1931;0.2482;0.1001;0.2543;0.0899
hsa04114;Oocyte meiosis;0.1978;0.0934;0.2088;0.0659;0.2143;0.0879
hsa04115;p53 signaling pathway;0.3182;0.3182;0.5;0.1818;0.3182;0.3864
hsa04130;SNARE interactions in vesicular transport;0.4235;0.4118;0.4235;0.1529;0.5176;0.0
hsa04137;Mitophagy;0.3846;0.3077;0.1795;0.1026;0.2821;0.3077
hsa04140;Autophagy;0.4573;0.3598;0.4085;0.1829;0.4146;0.3598
hsa04144;Endocytosis;0.1234;0.0756;0.1839;0.0403;0.2494;0.0579
hsa04145;Phagosome;0.0833;0.0833;0.1333;0.0667;0.0833;0.0167
hsa04150;mTOR signaling pathway;0.3041;0.0755;0.1039;0.0312;0.3031;0.2512
hsa04151;PI3K-Akt signaling pathway;0.254;0.0798;0.1065;0.0309;0.2385;0.3709
hsa04152;AMPK signaling pathway;0.58;0.48;0.56;0.18;0.54;0.52
hsa04210;Apoptosis;0.6495;0.5052;0.567;0.268;0.6289;0.5773
hsa04211;Longevity regulating pathway;0.4853;0.3088;0.3529;0.1176;0.4559;0.4118
hsa04213;Longevity regulating pathway;0.3878;0.2041;0.2041;0.0816;0.3878;0.3061
hsa04217;Necroptosis;0.2935;0.2239;0.2786;0.1393;0.3831;0.209
hsa04218;Cellular senescence;0.3036;0.251;0.3279;0.1255;0.3036;0.1943
hsa04270;Vascular smooth muscle contraction;0.4272;0.1942;0.2621;0.0971;0.4854;0.2621
hsa04310;Wnt signaling pathway;0.7398;0.1489;0.2406;0.0647;0.7444;0.4406
hsa04330;Notch signaling pathway;0.1736;0.0826;0.157;0.0496;0.2231;0.0496
hsa04340;Hedgehog signaling pathway;0.4615;0.2308;0.2692;0.0288;0.4808;0.2212
hsa04350;TGF-beta signaling pathway;0.4836;0.25;0.3361;0.1107;0.373;0.1967
hsa04360;Axon guidance;0.4971;0.2686;0.3571;0.0857;0.6629;0.3286
hsa04371;Apelin signaling pathway;0.5725;0.2101;0.2899;0.058;0.6014;0.3333
hsa04380;Osteoclast differentiation;0.519;0.4051;0.4684;0.2152;0.519;0.3038
hsa04390;Hippo signaling pathway;0.2483;0.0682;0.0953;0.0253;0.2404;0.2098
hsa04392;Hippo signaling pathway;0.6757;0.6757;0.7297;0.2162;0.7027;0.4865
hsa04510;Focal adhesion;0.5172;0.3547;0.5172;0.1232;0.6502;0.5074
hsa04512;ECM-receptor interaction;0.1863;0.0784;0.098;0.0;0.1667;0.049
hsa04514;Cell adhesion molecules;0.3;0.275;0.55;0.125;0.325;0.325
hsa04520;Adherens junction;0.5789;0.2895;0.5263;0.0526;0.6842;0.1316
hsa04530;Tight junction;0.2614;0.2159;0.3068;0.125;0.1136;0.125
hsa04540;Gap junction;0.9697;0.2576;0.6061;0.1061;0.9091;0.4394
hsa04550;Signaling pathways regulating pluripotency of stem cells;0.906;0.1617;0.2481;0.0827;0.8797;0.8195
hsa04611;Platelet activation;0.8246;0.2632;0.614;0.0702;0.7895;0.3684
hsa04620;Toll-like receptor signaling pathway;0.5109;0.3478;0.5326;0.25;0.337;0.4022
hsa04621;NOD-like receptor signaling pathway;0.6731;0.4712;0.4038;0.2308;0.4808;0.4135
hsa04622;RIG-I-like receptor signaling pathway;0.589;0.3973;0.4932;0.2192;0.3699;0.2877
hsa04625;C-type lectin receptor signaling pathway;0.3263;0.2105;0.3368;0.0947;0.2;0.2316
hsa04630;JAK-STAT signaling pathway;0.2474;0.0477;0.0808;0.0266;0.0987;0.0555
hsa04650;Natural killer cell mediated cytotoxicity;0.6522;0.4783;0.5435;0.2609;0.5217;0.3913
hsa04658;Th1 and Th2 cell differentiation;0.4519;0.1827;0.1538;0.0865;0.1538;0.1538
hsa04659;Th17 cell differentiation;0.3243;0.1784;0.227;0.0757;0.1784;0.2324
hsa04660;T cell receptor signaling pathway;0.8471;0.4941;0.5647;0.2471;0.6118;0.4941
hsa04662;B cell receptor signaling pathway;0.75;0.5278;0.6111;0.25;0.6667;0.4722
hsa04666;Fc gamma R-mediated phagocytosis;0.7069;0.2931;0.5862;0.1207;0.569;0.1724
hsa04670;Leukocyte transendothelial migration;0.4189;0.1757;0.2703;0.0541;0.4865;0.2162
hsa04710;Circadian rhythm;0.2421;0.1053;0.1789;0.0105;0.1474;0.0211
hsa04713;Circadian entrainment;0.6961;0.1176;0.2451;0.0098;0.5294;0.1765
hsa04714;Thermogenesis;0.2632;0.2368;0.2368;0.1579;0.5526;0.2632
hsa04720;Long-term potentiation;0.7556;0.2;0.2667;0.0444;0.6222;0.2667
hsa04722;Neurotrophin signaling pathway;0.7347;0.551;0.6633;0.1837;0.7551;0.5204
hsa04723;Retrograde endocannabinoid signaling;0.8636;0.1515;0.4091;0.0606;0.7273;0.2273
hsa04725;Cholinergic synapse;0.8;0.1167;0.4167;0.0333;0.7667;0.2167
hsa04726;Serotonergic synapse;0.9091;0.0909;0.2045;0.0227;0.5455;0.1136
hsa04727;GABAergic synapse;0.875;0.1;0.45;0.0;0.925;0.25
hsa04728;Dopaminergic synapse;0.3033;0.0711;0.1185;0.0047;0.2559;0.1232
hsa04730;Long-term depression;0.7632;0.2368;0.5789;0.1053;0.7895;0.1842
hsa04740;Olfactory transduction;0.3386;0.0047;0.0;0.0;0.0237;0.0142
hsa04810;Regulation of actin cytoskeleton;0.6369;0.3128;0.3911;0.1034;0.6564;0.5391
hsa04910;Insulin signaling pathway;0.6818;0.5227;0.5795;0.1818;0.7614;0.5909
hsa04912;GnRH signaling pathway;0.8537;0.2439;0.4146;0.1707;0.7805;0.3659
hsa04914;Progesterone-mediated oocyte maturation;0.8444;0.2889;0.5556;0.0889;0.8667;0.4667
hsa04915;Estrogen signaling pathway;0.3904;0.1872;0.246;0.0535;0.2086;0.139
hsa04916;Melanogenesis;0.8926;0.0992;0.1901;0.0413;0.8471;0.7479
hsa04917;Prolactin signaling pathway;0.6901;0.3803;0.507;0.1549;0.7465;0.3662
hsa04919;Thyroid hormone signaling pathway;0.0491;0.0321;0.0388;0.0127;0.0571;0.0127
hsa04920;Adipocytokine signaling pathway;0.8049;0.3171;0.4878;0.1951;0.3171;0.2195
hsa04921;Oxytocin signaling pathway;0.76;0.14;0.3;0.04;0.72;0.26
hsa04922;Glucagon signaling pathway;0.0714;0.0393;0.0589;0.0089;0.0643;0.0304
hsa04923;Regulation of lipolysis in adipocytes;0.9744;0.2564;0.6667;0.0513;1.0;0.4615
hsa04925;Aldosterone synthesis and secretion;0.2407;0.1111;0.3148;0.0556;0.2593;0.0926
hsa04926;Relaxin signaling pathway;0.5833;0.1481;0.3148;0.0556;0.5556;0.2407
hsa04928;Parathyroid hormone synthesis, secretion and action;0.521;0.1597;0.3025;0.0756;0.3866;0.1429
hsa04931;Insulin resistance;0.75;0.5227;0.5227;0.0909;0.6364;0.6364
hsa04932;Non-alcoholic fatty liver disease;0.7105;0.4737;0.5263;0.1579;0.4737;0.5263
hsa04933;AGE-RAGE signaling pathway in diabetic complications;0.6429;0.2381;0.2381;0.0952;0.1667;0.1429
hsa04934;Cushing syndrome;0.7659;0.1474;0.2775;0.0607;0.7775;0.6416
hsa04935;Growth hormone synthesis, secretion and action;0.7255;0.3333;0.5;0.1176;0.6765;0.3627
hsa04971;Gastric acid secretion;0.9302;0.2093;0.5116;0.0233;0.814;0.3953
hsa05010;Alzheimer disease;0.2649;0.0411;0.0729;0.0184;0.2573;0.2096
hsa05012;Parkinson disease;0.108;0.0617;0.0463;0.018;0.0694;0.0411
hsa05014;Amyotrophic lateral sclerosis;0.0462;0.0253;0.0451;0.011;0.0407;0.0275
hsa05016;Huntington disease;0.126;0.072;0.1414;0.0437;0.0874;0.0463
hsa05017;Spinocerebellar ataxia;0.1154;0.0427;0.094;0.0171;0.094;0.0385
hsa05030;Cocaine addiction;0.5;0.1667;0.2143;0.0;0.3333;0.2381
hsa05032;Morphine addiction;0.9038;0.0769;0.3462;0.0;0.7692;0.1923
hsa05034;Alcoholism;0.0096;0.0069;0.0055;0.0007;0.0371;0.0055
hsa05100;Bacterial invasion of epithelial cells;0.9412;0.5588;0.7647;0.1471;0.8235;0.2941
hsa05130;Pathogenic Escherichia coli infection;0.3311;0.1892;0.2568;0.098;0.2365;0.1486
hsa05131;Shigellosis;0.4833;0.2917;0.4167;0.1333;0.4292;0.3
hsa05132;Salmonella infection;0.4012;0.2485;0.3234;0.1347;0.2934;0.2126
hsa05133;Pertussis;0.3077;0.2154;0.3231;0.1692;0.2154;0.1846
hsa05135;Yersinia infection;0.5097;0.3484;0.4452;0.1742;0.3677;0.3097
hsa05140;Leishmaniasis;0.6053;0.4211;0.5;0.3158;0.3684;0.2895
hsa05142;Chagas disease;0.6351;0.2027;0.3649;0.1486;0.5405;0.2297
hsa05145;Toxoplasmosis;0.7273;0.6;0.6727;0.4;0.6364;0.5818
hsa05146;Amoebiasis;0.7059;0.2059;0.5882;0.0882;0.6765;0.2647
hsa05152;Tuberculosis;0.38;0.3;0.42;0.1533;0.34;0.28
hsa05160;Hepatitis C;0.6744;0.3953;0.4651;0.1977;0.4302;0.4302
hsa05161;Hepatitis B;0.4774;0.3226;0.4645;0.2065;0.3742;0.4
hsa05162;Measles;0.58;0.38;0.44;0.2267;0.3867;0.3533
hsa05163;Human cytomegalovirus infection;0.7226;0.365;0.6204;0.1825;0.6423;0.4818
hsa05164;Influenza A;0.7463;0.403;0.4776;0.1791;0.3731;0.403
hsa05165;Human papillomavirus infection;0.3492;0.0972;0.1435;0.0463;0.3345;0.296
hsa05166;Human T-cell leukemia virus 1 infection;0.3169;0.1831;0.2958;0.0915;0.1831;0.1549
hsa05167;Kaposi sarcoma-associated herpesvirus infection;0.4512;0.2927;0.3659;0.1341;0.3049;0.3049
hsa05168;Herpes simplex virus 1 infection;0.3786;0.251;0.3086;0.1399;0.2798;0.2428
hsa05169;Epstein-Barr virus infection;0.3574;0.2455;0.3321;0.148;0.2599;0.2238
hsa05170;Human immunodeficiency virus 1 infection;0.5213;0.3191;0.383;0.1809;0.4734;0.3138
hsa05200;Pathways in cancer;0.3932;0.1487;0.1894;0.0776;0.3128;0.2522
hsa05205;Proteoglycans in cancer;0.744;0.2113;0.2589;0.0744;0.7827;0.6339
hsa05210;Colorectal cancer;0.7292;0.4583;0.5208;0.2917;0.7083;0.5417
hsa05211;Renal cell carcinoma;0.8163;0.6939;0.6531;0.4898;0.7551;0.4898
hsa05212;Pancreatic cancer;0.6304;0.3696;0.5217;0.2174;0.6304;0.587
hsa05213;Endometrial cancer;0.5;0.32;0.42;0.18;0.48;0.56
hsa05214;Glioma;0.7188;0.5938;0.75;0.3438;0.8125;0.625
hsa05215;Prostate cancer;0.6042;0.2917;0.5;0.1146;0.5938;0.8542
hsa05217;Basal cell carcinoma;0.7786;0.0923;0.1661;0.0295;0.7638;0.7085
hsa05218;Melanoma;0.6106;0.177;0.3274;0.0619;0.6283;0.9381
hsa05220;Chronic myeloid leukemia;0.3762;0.2871;0.3861;0.2178;0.396;0.3168
hsa05221;Acute myeloid leukemia;0.7222;0.3611;0.4444;0.2222;0.5556;0.3611
hsa05222;Small cell lung cancer;0.3265;0.2245;0.4286;0.102;0.2857;0.2653
hsa05223;Non-small cell lung cancer;0.6735;0.551;0.6735;0.2449;0.6735;0.6939
hsa05224;Breast cancer;0.3333;0.0858;0.1183;0.0325;0.3264;0.2712
hsa05225;Hepatocellular carcinoma;0.2077;0.0421;0.0641;0.022;0.2011;0.175
hsa05226;Gastric cancer;0.3573;0.0885;0.1261;0.042;0.3496;0.3175
hsa05231;Choline metabolism in cancer;0.5641;0.359;0.3846;0.1282;0.641;0.4103
hsa05235;PD-L1 expression and PD-1 checkpoint pathway in cancer;0.7419;0.6129;0.7097;0.5484;0.6129;0.7419
hsa05321;Inflammatory bowel disease;0.8205;0.1795;0.2564;0.0256;0.4103;0.2051
hsa05418;Fluid shear stress and atherosclerosis;0.0436;0.0157;0.0183;0.0061;0.0209;0.0105
